TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM,PRECIP2
2019-01-06T07:00:00Z,Lane,90.61,0.79,1.59,91.73,0.05,0,0,0,0.6,-0.06,0.05,0.43,2.23,0.1223,0.1766,0.3905,0.4122,NA
2019-01-06T08:00:00Z,Lane,90.57,0.41,0.9,94.41,0.04,0,0.65,0,1.54,-0.06,0.05,0.44,2.25,0.1226,0.1774,0.3905,0.4122,NA
2019-01-06T09:00:00Z,Lane,90.55,0.58,0.72,94.27,0.04,0,25.9,0.09,2.02,-0.05,0.05,0.44,2.24,0.1232,0.1781,0.3905,0.4122,NA
2019-01-06T10:00:00Z,Lane,90.61,1.13,1.19,92.72,0.05,0,128.15,0.46,2.2,-0.05,0.06,0.44,2.24,0.1233,0.1789,0.391,0.4122,NA
2019-01-06T11:00:00Z,Lane,90.6,2.34,2.03,87.19,0.09,0,304.78,1.1,2.44,-0.05,0.05,0.43,2.23,0.1239,0.1797,0.391,0.4122,NA
2019-01-06T12:00:00Z,Lane,90.51,3.13,2.82,84.09,0.12,0,402.15,1.45,2.45,-0.05,0.06,0.44,2.23,0.1241,0.1804,0.3911,0.4122,NA
2019-01-06T13:00:00Z,Lane,90.38,3.96,3.77,82.4,0.14,0,454.66,1.64,2.57,-0.05,0.06,0.44,2.21,0.1245,0.1813,0.3911,0.4122,NA
2019-01-06T14:00:00Z,Lane,90.28,5.48,5.31,76.96,0.21,0,474.74,1.71,2.28,-0.04,0.06,0.44,2.22,0.1251,0.1821,0.391,0.4122,NA
2019-01-06T15:00:00Z,Lane,90.24,5.59,5.52,79.67,0.18,0,214.53,0.77,1.25,-0.04,0.06,0.44,2.22,0.1255,0.1828,0.391,0.4121,NA
2019-01-06T16:00:00Z,Lane,90.26,5.3,5.55,82.76,0.15,0,117.43,0.42,0.98,-0.04,0.06,0.44,2.21,0.1261,0.1836,0.391,0.4116,NA
2019-01-06T17:00:00Z,Lane,90.28,4.45,5.13,86.28,0.12,0,53.44,0.19,0.53,-0.04,0.07,0.44,2.21,0.1277,0.1845,0.391,0.4116,NA
2019-01-06T18:00:00Z,Lane,90.25,2.86,4.37,91.26,0.07,0,11.79,0.04,0.89,-0.04,0.06,0.43,2.21,0.1336,0.1853,0.391,0.4116,NA
2019-01-06T19:00:00Z,Lane,90.23,2.55,4.18,91.79,0.06,0,0,0,1.9,-0.04,0.06,0.44,2.21,0.141,0.1863,0.391,0.4116,NA
2019-01-06T20:00:00Z,Lane,90.19,7.73,9.07,72.66,0.29,0,0,0,2.57,-0.03,0.07,0.44,2.2,0.1491,0.1872,0.3911,0.4116,NA
2019-01-06T21:00:00Z,Lane,90.16,5.02,6.4,83.3,0.15,0,0,0,2.17,-0.03,0.07,0.44,2.2,0.158,0.1882,0.391,0.4116,NA
